ID;xstart;ystart;xend;yend
3747;538115.9668;5286030.762;538271.8506;5286649.414
3748;538626.3428;5286695.313;538687.3169;5286899.902
3749;538985.9009;5286075.195;539331.1157;5287208.496
3750;537926.6357;5287155.273;538105.5298;5287676.27
3751;537590.1489;5287319.824;537773.9258;5287932.617
3752;537857.5439;5287209.961;538059.9365;5288078.125
3753;538605.2246;5287929.688;538839.8438;5288659.18
3754;538178.2227;5287766.113;538702.6367;5289534.668
3755;535686.2793;5287379.395;535780.5176;5287651.367
3756;535732.8491;5287773.926;535806.9458;5288146.484
3757;535219.5435;5287246.582;535368.7744;5287395.996
3758;535042.8467;5286955.078;535123.5352;5287209.473
3759;535117.0654;5287832.031;535077.5757;5288056.152
3760;534865.3564;5287787.109;534900.5737;5288422.852
3761;534704.2236;5287801.27;534714.2944;5288037.598
3762;534259.2773;5288020.508;534293.0908;5288279.785
3763;534461.3647;5288420.898;534411.5601;5288739.258
3764;534757.2021;5288634.277;534726.1963;5288908.691
3765;535523.8647;5288076.66;535546.5088;5288241.211
3766;535471.2524;5288654.785;535533.9966;5289032.227
3768;529965.0879;5287377.93;529830.2612;5287583.496
3769;529588.1958;5287779.785;529579.7729;5288101.563
3770;529999.2676;5287628.418;529769.8364;5288014.16
3771;529839.4165;5288261.231;529756.6528;5288409.668
3772;529948.8525;5288159.668;529918.9453;5288377.93
3773;529910.4004;5288949.707;529936.5234;5289070.801
3774;530036.5601;5289238.281;529915.3442;5289521.484
3775;529702.4536;5289656.25;529655.1514;5289888.184
3777;527515.8691;5292307.129;527545.4712;5292451.66
3778;527778.1372;5292273.438;527716.3086;5292459.961
3780;528394.2871;5292122.07;528405.3955;5292347.168
3781;534794.6167;5289550.293;534821.8384;5289777.832
3782;534909.5459;5289810.059;534929.0771;5290110.352
3783;536369.6289;5289086.426;536458.4961;5289618.652
3784;536767.2729;5289004.395;537094.9097;5290460.449
3785;536460.3882;5288665.527;536565.4297;5289187.012
3786;537074.2798;5287256.348;537182.251;5287696.289
3787;537310.6689;5287881.348;537639.8926;5289608.887
3788;536610.8398;5286789.551;536832.2144;5287248.535
3789;536648.0713;5287629.395;536778.0151;5288196.289
3790;537063.7207;5288202.148;537216.1255;5288900.391
3791;536804.6875;5288256.348;536899.8413;5288594.238
3792;536024.7192;5288371.094;536173.4009;5289101.563
3793;539321.4111;5289864.746;539584.8389;5290464.356
3794;539203.125;5289194.336;539244.3848;5289782.715
3795;535689.8804;5288729.492;535727.478;5289141.602
3796;541598.6328;5287621.094;541655.8228;5288101.563
3797;540725.2197;5287848.633;540827.9419;5288213.867
3798;542988.4644;5293064.941;543233.7036;5293417.969
3799;543591.4307;5293251.953;543676.0864;5293509.277
3800;542839.3555;5289852.051;543432.312;5290760.742
3801;543019.3481;5289448.242;543070.2515;5289698.731
3802;543736.084;5290728.027;544085.2051;5291549.316
3803;534333.8623;5289695.801;534373.9624;5289857.422
3804;534193.7256;5291234.375;534047.3633;5291583.008
3805;533779.8462;5291082.031;533583.9844;5291325.195
3807;533547.6685;5290490.234;533401.7334;5290701.66
3808;533946.6553;5290665.039;533865.7227;5291185.059
3809;534662.1704;5288263.672;534630.7983;5288460.449
3811;553860.4736;5277500.977;553930.9082;5277757.324
3813;552656.189;5277829.102;552680.481;5278040.527
3814;554203.9185;5276817.383;554318.7866;5277137.695
3815;555105.6519;5278326.66;555252.5024;5278559.082
3816;555316.1011;5278378.906;555391.5405;5278541.992
3817;550114.8682;5276408.203;549865.9668;5276593.75
3818;550813.6597;5276985.352;550819.2139;5277171.387
3819;550905.6396;5276668.457;550923.9502;5277043.457
3820;551282.8979;5276766.602;551246.7041;5276947.266
3821;551149.292;5276672.363;551144.165;5276871.094
3822;551517.395;5277540.527;551529.7852;5277718.262
3823;551661.9263;5277259.277;551682.5562;5277658.203
3824;551923.584;5276544.922;551983.3374;5276926.27
3825;551615.1733;5276592.285;551582.7637;5276806.641
3826;553006.5918;5277148.926;553120.8496;5277402.832
3827;553558.4717;5277246.094;553601.1963;5277477.051
3828;552910.7666;5277803.223;552939.3311;5278168.945
3829;552237.9761;5276500.977;552258.606;5276777.832
3831;552313.5986;5277807.129;552288.3911;5278228.516
3833;553778.6255;5278511.231;553792.4194;5278740.723
3834;553467.7124;5278555.176;553532.5928;5278761.231
3835;554241.1499;5277627.93;554433.7158;5277905.273
3836;554045.5322;5277427.246;554192.2607;5277800.293
3837;554699.8291;5278372.07;554922.0581;5278951.66
3838;513130.7373;5281170.898;512942.1997;5281352.051
3839;513301.0254;5281324.707;512941.3452;5281625.977
3840;512899.7192;5281103.027;512245.7275;5281579.102
3841;512274.5361;5280891.113;511898.3154;5281055.664
3842;512578.186;5281763.672;512314.4531;5281934.57
3843;512762.146;5281552.734;512494.3237;5281676.758
3844;513904.6631;5280551.27;513133.667;5281003.418
3845;514732.4829;5280305.176;513889.2212;5280656.738
3846;514470.3979;5280659.18;513726.9287;5280927.734
3847;515760.376;5279625.977;515276.1841;5279862.305
3848;514895.5078;5280827.637;514554.5654;5281102.051
3849;514059.4482;5281112.793;513604.5532;5281376.953
3850;514104.6143;5281408.691;513702.2095;5281684.082
3851;513443.9697;5281651.367;513039.917;5281846.191
3852;512184.8145;5281266.113;511119.4763;5281738.77
